N,optimal_expectation_float64,optimal_density_float64,greedy_expectation_float64,greedy_density_float64,deferral_expectation_float64,deferral_density_float64
100,25.996354802353054,0.25996354802353056,25.126903553299492,0.2512690355329949,25.817793322043073,0.25817793322043076
500,128.81459095535038,0.2576291819107008,125.12537612838516,0.2502507522567703,127.97583161502659,0.2559516632300532
1000,257.2950273952675,0.2572950273952675,250.1251877816725,0.25012518778167253,255.66522259202534,0.25566522259202534
5000,1285.042992111158,0.25700859842223156,1250.1250375112534,0.25002500750225065,1277.1879920255112,0.2554375984051022
10000,2569.704014804967,0.25697040148049666,2500.125018752813,0.2500125018752813,2554.095122950078,0.2554095122950078
20000,5139.017109887453,0.2569508554943727,5000.1250093757035,0.25000625046878516,5107.910971625535,0.2553955485812768
40000,10277.636232981878,0.256940905824547,10000.125004687676,0.2500031251171919,10215.543910594222,0.25538859776485556
80000,20554.868942271074,0.25693586177838845,20000.125002343793,0.2500015625292974,20430.810724762174,0.2553851340595272
